source_lang,target_lang,source_term,target_term,category
en,zh,HS Chapter 01,第一章 活动物,HS编码
en,zh,HS Chapter 02,第二章 肉及食用杂碎,HS编码
en,zh,HS Chapter 03,第三章 鱼及其他水生无脊椎动物,HS编码
en,zh,HS Chapter 04,第四章 乳品蛋品蜂蜜,HS编码
en,zh,HS Chapter 05,第五章 其他动物产品,HS编码
en,zh,HS Chapter 06,第六章 活树及其他活植物,HS编码
en,zh,HS Chapter 07,第七章 食用蔬菜,HS编码
en,zh,HS Chapter 08,第八章 食用水果及坚果,HS编码
en,zh,HS Chapter 09,第九章 咖啡茶马黛茶及调味香料,HS编码
en,zh,HS Chapter 10,第十章 谷物,HS编码
en,zh,HS Chapter 11,第十一章 制粉工业产品,HS编码
en,zh,HS Chapter 12,第十二章 油籽及药用植物,HS编码
en,zh,HS Chapter 13,第十三章 虫胶树胶树脂,HS编码
en,zh,HS Chapter 14,第十四章 编结用植物材料,HS编码
en,zh,HS Chapter 15,第十五章 动植油脂及其分解产品,HS编码
en,zh,HS Chapter 16,第十六章 肉鱼制品,HS编码
en,zh,HS Chapter 17,第十七章 糖及糖食,HS编码
en,zh,HS Chapter 18,第十八章 可可及可可制品,HS编码
en,zh,HS Chapter 19,第十九章 谷物粉乳制品,HS编码
en,zh,HS Chapter 20,第二十章 蔬菜水果坚果制品,HS编码
en,zh,HS Chapter 21,第二十一章 杂项食品,HS编码
en,zh,HS Chapter 22,第二十二章 饮料酒及醋,HS编码
en,zh,HS Chapter 23,第二十三章 食品工业残渣饲料,HS编码
en,zh,HS Chapter 24,第二十四章 烟草及烟草制品,HS编码
en,zh,HS Chapter 25,第二十五章 盐硫磺石灰及水泥,HS编码
en,zh,HS Chapter 26,第二十六章 矿砂矿渣及矿灰,HS编码
en,zh,HS Chapter 27,第二十七章 矿物燃料矿物油,HS编码
en,zh,HS Chapter 28,第二十八章 无机化学品,HS编码
en,zh,HS Chapter 29,第二十九章 有机化学品,HS编码
en,zh,HS Chapter 30,第三十章 药品,HS编码
en,zh,HS Chapter 31,第三十一章 肥料,HS编码
en,zh,HS Chapter 32,第三十二章 染料颜料及涂料,HS编码
en,zh,HS Chapter 33,第三十三章 精油化妆品,HS编码
en,zh,HS Chapter 34,第三十四章 洗涤剂蜡,HS编码
en,zh,HS Chapter 35,第三十五章 蛋白胶物质,HS编码
en,zh,HS Chapter 36,第三十六章 炸药火柴,HS编码
en,zh,HS Chapter 37,第三十七章 照相用品,HS编码
en,zh,HS Chapter 38,第三十八章 杂项化学产品,HS编码
en,zh,HS Chapter 39,第三十九章 塑料及其制品,HS编码
en,zh,HS Chapter 40,第四十章 橡胶及其制品,HS编码
en,zh,HS Chapter 41,第四十一章 生皮革,HS编码
en,zh,HS Chapter 42,第四十二章 皮革制品旅行用品,HS编码
en,zh,HS Chapter 43,第四十三章 毛皮及其制品,HS编码
en,zh,HS Chapter 44,第四十四章 木材及木制品,HS编码
en,zh,HS Chapter 45,第四十五章 软木及软木制品,HS编码
en,zh,HS Chapter 46,第四十六章 编结材料制品,HS编码
en,zh,HS Chapter 47,第四十七章 木浆,HS编码
en,zh,HS Chapter 48,第四十八章 纸及纸板,HS编码
en,zh,HS Chapter 49,第四十九章 印刷品,HS编码
en,zh,HS Chapter 50,第五十章 蚕丝,HS编码
en,zh,HS Chapter 51,第五十一章 羊毛动物毛,HS编码
en,zh,HS Chapter 52,第五十二章 棉花,HS编码
en,zh,HS Chapter 53,第五十三章 其他植物纺织纤维,HS编码
en,zh,HS Chapter 54,第五十四章 化学长丝,HS编码
en,zh,HS Chapter 55,第五十五章 化学短纤,HS编码
en,zh,HS Chapter 56,第五十六章 絮胎毡呢及无纺织物,HS编码
en,zh,HS Chapter 57,第五十七章 地毯及铺地制品,HS编码
en,zh,HS Chapter 58,第五十八章 特种机织物,HS编码
en,zh,HS Chapter 59,第五十九章 浸渍涂布织物,HS编码
en,zh,HS Chapter 60,第六十章 针织物及钩编织物,HS编码
en,zh,HS Chapter 61,第六十一章 针织服装,HS编码
en,zh,HS Chapter 62,第六十二章 非针织服装,HS编码
en,zh,HS Chapter 63,第六十三章 其他纺织制成品,HS编码
en,zh,HS Chapter 64,第六十四章 鞋靴,HS编码
en,zh,HS Chapter 65,第六十五章 帽类,HS编码
en,zh,HS Chapter 66,第六十六章 雨伞手杖,HS编码
en,zh,HS Chapter 67,第六十七章 羽毛人造花,HS编码
en,zh,HS Chapter 68,第六十八章 石料制品,HS编码
en,zh,HS Chapter 69,第六十九章 陶瓷产品,HS编码
en,zh,HS Chapter 70,第七十章 玻璃及其制品,HS编码
en,zh,HS Chapter 71,第七十一章 珠宝贵金属,HS编码
en,zh,HS Chapter 72,第七十二章 钢铁,HS编码
en,zh,HS Chapter 73,第七十三章 钢铁制品,HS编码
en,zh,HS Chapter 74,第七十四章 铜及其制品,HS编码
en,zh,HS Chapter 75,第七十五章 镍及其制品,HS编码
en,zh,HS Chapter 76,第七十六章 铝及其制品,HS编码
en,zh,HS Chapter 78,第七十八章 铅及其制品,HS编码
en,zh,HS Chapter 79,第七十九章 锌及其制品,HS编码
en,zh,HS Chapter 80,第八十章 锡及其制品,HS编码
en,zh,HS Chapter 81,第八十一章 其他贱金属,HS编码
en,zh,HS Chapter 82,第八十二章 贱金属工具,HS编码
en,zh,HS Chapter 83,第八十三章 贱金属杂项制品,HS编码
en,zh,HS Chapter 84,第八十四章 机械设备,HS编码
en,zh,HS Chapter 85,第八十五章 电气设备,HS编码
en,zh,HS Chapter 86,第八十六章 铁道车辆,HS编码
en,zh,HS Chapter 87,第八十七章 车辆及其零件,HS编码
en,zh,HS Chapter 88,第八十八章 航空器,HS编码
en,zh,HS Chapter 89,第八十九章 船舶,HS编码
en,zh,HS Chapter 90,第九十章 光学医疗仪器,HS编码
en,zh,HS Chapter 91,第九十一章 钟表,HS编码
en,zh,HS Chapter 92,第九十二章 乐器,HS编码
en,zh,HS Chapter 93,第九十三章 武器弹药,HS编码
en,zh,HS Chapter 94,第九十四章 家具寝具灯具,HS编码
en,zh,HS Chapter 95,第九十五章 玩具游戏品运动用品,HS编码
en,zh,HS Chapter 96,第九十六章 杂项制品,HS编码
en,zh,HS Chapter 97,第九十七章 艺术品收藏品,HS编码
en,zh,HS Chapter 98,第九十八章 特殊交易品,HS编码
en,zh,HS Chapter 99,第九十九章 其他特殊商品,HS编码
