source_lang,target_lang,source_term,target_term,category
en,zh,alphanumeric sort,按字母数字顺序排列,微软术语
en,zh,log off,退出登录,微软术语
en,zh,round,四舍五入,微软术语
en,zh,child business unit,下级业务部门,微软术语
en,zh,record number,记录编号,微软术语
en,zh,quiet mode,安静模式,微软术语
en,zh,linked virtual hard disk,链接的虚拟硬盘,微软术语
en,zh,Telephone User Interface,电话用户界面,微软术语
en,zh,TUI,TUI,微软术语
en,zh,touchtone interface,按键界面,微软术语
en,zh,service order line,服务订单行,微软术语
en,zh,asymmetrical transmission,非对称传输,微软术语
en,zh,managed folder mailbox policy,托管文件夹邮箱策略,微软术语
en,zh,padding,填充,微软术语
en,zh,resource,资源,微软术语
en,zh,dynamic data field,动态数据字段,微软术语
en,zh,WWW Service Administration and Monitoring component,WWW 服务管理和监视组件,微软术语
en,zh,Schedule Important Software Updates,安排重要软件更新工具,微软术语
en,zh,HTTP module,HTTP 模块,微软术语
en,zh,data source,数据源,微软术语
en,zh,push,推传递,微软术语
en,zh,broadband network,宽带网络,微软术语
en,zh,broadband,宽带,微软术语
en,zh,Outlook Web App Web Part,Outlook Web App Web 部件,微软术语
en,zh,diacritical mark,标注字符,微软术语
en,zh,diacritic,音调符号,微软术语
en,zh,differentiating factor,区别性因素,微软术语
en,zh,Business Data Connectivity service,Business Data Connectivity service,微软术语
en,zh,Business Data Connectivity Shared Service,业务数据连接共享服务,微软术语
en,zh,COM,COM,微软术语
en,zh,Component Object Model,组件对象模型,微软术语
en,zh,Create Task Wizard,创建任务向导,微软术语
en,zh,country/region-specific,国家/地区特定的,微软术语
en,zh,application media pool,应用程序媒体池,微软术语
en,zh,via,孔,微软术语
en,zh,bandwidth throttling,带宽限制,微软术语
en,zh,network bandwidth throttling,网络带宽限制,微软术语
en,zh,ARP cache,ARP 缓存,微软术语
en,zh,A/V Conferencing Edge service,A/V 会议边缘服务,微软术语
en,zh,Loose XAML,宽松 XAML,微软术语
en,zh,powered by,提供支持,微软术语
en,zh,drop-down menu,下拉菜单,微软术语
en,zh,pulldown menu,下拉菜单,微软术语
en,zh,pull-down menu,下拉菜单,微软术语
en,zh,product pool,产品组合,微软术语
en,zh,Microsoft® Office InfoPath® 2007,Microsoft® Office InfoPath® 2007,微软术语
en,zh,cardholder,持卡人,微软术语
en,zh,data transfer,数据传输,微软术语
en,zh,transfer,传输,微软术语
en,zh,Project Watch Folder,项目监视文件夹,微软术语
en,zh,DPM service,DPM 服务,微软术语
en,zh,power user,Power User,微软术语
en,zh,divergence,扩散,微软术语
en,zh,Edit Field Value Lists,编辑字段值列表,微软术语
en,zh,notebook layout view,笔记本布局视图,微软术语
en,zh,licensing key,授权密钥,微软术语
en,zh,line-of-business entity,业务线实体,微软术语
en,zh,LOB entity,LOB 实体,微软术语
en,zh,prefix pattern,前缀模式,微软术语
en,zh,proxy server,代理服务器,微软术语
en,zh,tip,提示,微软术语
en,zh,raw socket,原始套接字,微软术语
en,zh,border,边界,微软术语
en,zh,fill factor,填充因子,微软术语
en,zh,sub-contact,下级联系人,微软术语
en,zh,predefined key,预定义项,微软术语
en,zh,interleave,交错,微软术语
en,zh,personalization,个性化,微软术语
en,zh,flow control,流控制,微软术语
en,zh,Heart Button,红心按钮,微软术语
en,zh,copyright,版权所有,微软术语
en,zh,qualitative assessment,定性评估,微软术语
en,zh,home page,主页,微软术语
en,zh,welcome page,欢迎页,微软术语
en,zh,x-y-z coordinate system,x-y-z 坐标系统,微软术语
en,zh,bus network,总线网络,微软术语
en,zh,bus topology,总线布局,微软术语
en,zh,absolute value,绝对值,微软术语
en,zh,foreign address,外部地址,微软术语
en,zh,DirectInput,DirectInput,微软术语
en,zh,animated GIF,动态 GIF,微软术语
en,zh,SOAP,SOAP,微软术语
en,zh,Simple Object Access Protocol,简单对象访问协议,微软术语
en,zh,Data Link Control,数据链路控制,微软术语
en,zh,DLC,DLC,微软术语
en,zh,CCW,CCW,微软术语
en,zh,COM callable wrapper,COM 可调用包装器,微软术语
en,zh,plus pointer,加号指针,微软术语
en,zh,diffuse material,漫射材料,微软术语
en,zh,search page,搜索页,微软术语
en,zh,mail user,邮件用户,微软术语
