source_lang,target_lang,source_term,target_term,category
en,zh,Vitamin A,维生素A,营养品成分
en,zh,Vitamin B1 (Thiamine),维生素B1（硫胺素）,营养品成分
en,zh,Vitamin B2 (Riboflavin),维生素B2（核黄素）,营养品成分
en,zh,Vitamin B3 (Niacin),维生素B3（烟酸）,营养品成分
en,zh,Vitamin B5 (Pantothenic Acid),维生素B5（泛酸）,营养品成分
en,zh,Vitamin B6 (Pyridoxine),维生素B6（吡哆醇）,营养品成分
en,zh,Vitamin B7 (Biotin),维生素B7（生物素）,营养品成分
en,zh,Vitamin B9 (Folic Acid),维生素B9（叶酸）,营养品成分
en,zh,Vitamin B12 (Cobalamin),维生素B12（钴胺素）,营养品成分
en,zh,Vitamin C (Ascorbic Acid),维生素C（抗坏血酸）,营养品成分
en,zh,Vitamin D,维生素D,营养品成分
en,zh,Vitamin D3 (Cholecalciferol),维生素D3（胆钙化醇）,营养品成分
en,zh,Vitamin E (Tocopherol),维生素E（生育酚）,营养品成分
en,zh,Vitamin K,维生素K,营养品成分
en,zh,Calcium,钙,营养品成分
en,zh,Iron,铁,营养品成分
en,zh,Zinc,锌,营养品成分
en,zh,Magnesium,镁,营养品成分
en,zh,Potassium,钾,营养品成分
en,zh,Sodium,钠,营养品成分
en,zh,Copper,铜,营养品成分
en,zh,Manganese,锰,营养品成分
en,zh,Selenium,硒,营养品成分
en,zh,Chromium,铬,营养品成分
en,zh,Iodine,碘,营养品成分
en,zh,Molybdenum,钼,营养品成分
en,zh,Phosphorus,磷,营养品成分
en,zh,DHA (Docosahexaenoic Acid),二十二碳六烯酸,营养品成分
en,zh,EPA (Eicosapentaenoic Acid),二十碳五烯酸,营养品成分
en,zh,Omega-3 Fatty Acids,欧米伽-3脂肪酸,营养品成分
en,zh,Omega-6 Fatty Acids,欧米伽-6脂肪酸,营养品成分
en,zh,Omega-9 Fatty Acids,欧米伽-9脂肪酸,营养品成分
en,zh,Fish Oil,鱼油,营养品成分
en,zh,Krill Oil,磷虾油,营养品成分
en,zh,Flaxseed Oil,亚麻籽油,营养品成分
en,zh,Algal Oil,藻油,营养品成分
en,zh,Coenzyme Q10,辅酶Q10,营养品成分
en,zh,Lutein,叶黄素,营养品成分
en,zh,Zeaxanthin,玉米黄质,营养品成分
en,zh,Probiotics,益生菌,营养品成分
en,zh,Prebiotics,益生元,营养品成分
en,zh,Lactobacillus,乳酸杆菌,营养品成分
en,zh,Bifidobacterium,双歧杆菌,营养品成分
en,zh,Collagen,胶原蛋白,营养品成分
en,zh,Collagen Peptides,胶原蛋白肽,营养品成分
en,zh,Gelatin,明胶,营养品成分
en,zh,Glucosamine,氨基葡萄糖,营养品成分
en,zh,Chondroitin,硫酸软骨素,营养品成分
en,zh,MSM (Methylsulfonylmethane),二甲基砜,营养品成分
en,zh,Creatine,肌酸,营养品成分
en,zh,BCAA (Branched-Chain Amino Acids),支链氨基酸,营养品成分
en,zh,Whey Protein,乳清蛋白,营养品成分
en,zh,Casein Protein,酪蛋白,营养品成分
en,zh,Soy Protein,大豆蛋白,营养品成分
en,zh,Pea Protein,豌豆蛋白,营养品成分
en,zh,Melatonin,褪黑素,营养品成分
en,zh,Ginseng,人参,营养品成分
en,zh,Ginkgo Biloba,银杏叶提取物,营养品成分
en,zh,Ganoderma Lucidum,灵芝,营养品成分
